norm_id;stofnaam;casnummer;aquocode;categorie;compartiment;norm;waarde;eenheid;compartimentcode;compartimentomschrijving;grootheidcode;grootheidomschrijving;hoedanigheidcode;hoedanigheidomschrijving;waardebewerkingsmethodecode;waardebewerkingsmethodeomschrijving
9334;octylfenolen;;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren wettelijk JG-MKN (totaal);0,1;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;JGM;Jaargemiddelde
9336;octylfenolen;;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren wettelijk JG-MKN (totaal);0,01;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;JGM;Jaargemiddelde
9408;stikstof;7727-37-9;Ntot;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren MTR (totaal);voor grenswaarden per watertype zie (W);;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;P90;90-Percentiel
9409;zuurstof;7782-44-7;O2;Milieu;Oppervlaktewater voor drinkwaterbereiding;Oppervlaktewater voor drinkwaterbereiding (gericht op waterbeheerder);≥ 5;mg/l;;;;;;;;
9410;zuurstof;7782-44-7;O2;Milieu;Oppervlaktewater voor drinkwaterbereiding;Oppervlaktewater voor drinkwaterbereiding (gericht tot het drinkwaterbedrijf);≥ 5;mg/l;;;;;;;;
9491;ethyl butyraat;105-54-4;C2ybtrt;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief MTR (opgelost);53;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);P90;90-Percentiel
9492;ethyl butyraat;105-54-4;C2ybtrt;Milieu;Sediment;Sediment Indicatief MTR (droge stof);366;µg/kg;BS;Bodem/Sediment;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;;
9506;ethyllactaat;97-64-3;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief JG-MKN (opgelost);320;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);JGM;Jaargemiddelde
9507;ethyllactaat;97-64-3;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief MAC-MKN (opgelost);3200;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);MAX;Maximum
9590;anorganische arseenverbindingen (ZZS);;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren wettelijk JG-MKN (opgelost);0,5;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);JGM;Jaargemiddelde
9591;anorganische arseenverbindingen (ZZS);;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren wettelijk MAC-MKN (opgelost);8;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);MAX;Maximum
9592;anorganische arseenverbindingen (ZZS);;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren wettelijk JG-MKN (opgelost);0,6;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);JGM;Jaargemiddelde
9593;anorganische arseenverbindingen (ZZS);;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren wettelijk MAC-MKN (opgelost);1,1;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);MAX;Maximum
9610;1,3-dichloor-2-propanol (ZZS);96-23-1;13DCl2C3ol;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren MTR (opgelost);104;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);P90;90-Percentiel
9625;2-diethylaminoethanol;100-37-8;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief JG-MKN (opgelost);21;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);JGM;Jaargemiddelde
9626;2-diethylaminoethanol;100-37-8;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief JG-MKN (totaal);21;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;JGM;Jaargemiddelde
9627;2-diethylaminoethanol;100-37-8;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief MAC-MKN (opgelost);340;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);MAX;Maximum
9628;2-diethylaminoethanol;100-37-8;;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief MAC-MKN (totaal);340;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;MAX;Maximum
9629;2-diethylaminoethanol;100-37-8;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren Indicatief JG-MKN (opgelost);2,1;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);JGM;Jaargemiddelde
9630;2-diethylaminoethanol;100-37-8;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren Indicatief JG-MKN (totaal);2,1;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;JGM;Jaargemiddelde
9631;2-diethylaminoethanol;100-37-8;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren Indicatief MAC-MKN (opgelost);34;µg/l;OW;Oppervlaktewateren;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);MAX;Maximum
9632;2-diethylaminoethanol;100-37-8;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren Indicatief MAC-MKN (totaal);34;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;MAX;Maximum
9642;acrylzuur;79-10-7;2C3ezr;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren JG-MKN (totaal);3,0;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;JGM;Jaargemiddelde
9643;acrylzuur;79-10-7;2C3ezr;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren MAC-MKN (totaal);3,0;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;MAX;Maximum
9644;acrylzuur;79-10-7;2C3ezr;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren JG-MKN (totaal);0,3;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;JGM;Jaargemiddelde
9645;acrylzuur;79-10-7;2C3ezr;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren MAC-MKN (totaal);0,3;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;MAX;Maximum
9695;benzylideenchloride;98-87-3;aaDClTol;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren wettelijk JG-MKN (totaal);0,0034;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;JGM;Jaargemiddelde
